,Product Name,Category,Selling Price,About Product,Image,Unique_Category
0,"DB Longboards CoreFlex Crossbow 41"" Bamboo Fiberglass Longboard Complete","Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards",$237.68,"Make sure this fits by entering your model number. | RESPONSIVE FLEX: The Crossbow features a bamboo core encased in triaxial fiberglass and HD plastic for a responsive flex pattern that’s second to none. Pumping & carving have never been so satisfying! Flex 2 is recommended for people 120 to 170 pounds. | COREFLEX TECH: CoreFlex construction is water resistant, impact resistant, scratch resistant and has a flex like you won’t believe. These boards combine fiberglass, epoxy, HD plastic and bamboo to create a perfect blend of performance and strength. | INSPIRED BY THE NORTHWEST: Our founding ideal is chasing adventure & riding the best boards possible, inspired by the hills, waves, beaches & mountains all around our headquarters in the Northwest | BEST IN THE WORLD: DB was founded out of sheer love of longboarding with a mission to create the best custom longboards in the world, to do it sustainably, & to treat customers & employees like family | BEYOND COMPARE: Try our skateboards & accessories if you've tried similar products by Sector 9, Landyachtz, Arbor, Loaded, Globe, Orangatang, Hawgs, Powell-Peralta, Blood Orange, Caliber or Gullwing",https://images-na.ssl-images-amazon.com/images/I/51j3fPQTQkL.jpg|https://images-na.ssl-images-amazon.com/images/I/31hKM3cSoSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51WlHdwghfL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FsyLRBzwL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Sports & Outdoors
1,"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)",Toys & Games | Learning & Education | Science Kits & Toys,$99.95,"Make sure this fits by entering your model number. | Snap circuits mini kits classpack provides basic electronic circuitry activities for students in grades 2-6 | Includes 5 separate mini building kits- an FM radio, a motion detector, music box, space battle sound effects, and a flying saucer | Each kit includes separate components and instructions to build | Each component represents one function in a circuit; components snap together to create working models of everyday electronic devices | Activity guide provides additional projects to teach students how circuitry works",https://images-na.ssl-images-amazon.com/images/I/51M0KnJxjKL.jpg|https://images-na.ssl-images-amazon.com/images/I/5166GD8OkXL.jpg|https://images-na.ssl-images-amazon.com/images/I/61o5S1VnaNL.jpg|https://images-na.ssl-images-amazon.com/images/I/61t4Q0rPYjL.jpg|https://images-na.ssl-images-amazon.com/images/I/61NASUAyqcL.jpg|https://images-na.ssl-images-amazon.com/images/I/51OMrADdyJL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Learning & Education
2,"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate",Toys & Games | Arts & Crafts | Craft Kits,$34.99,"Make sure this fits by entering your model number. | ✅【Smooth 3D drawing experienced the best 3D drawing experience by only using 3Doodler Create Plastics with 3Doodler Create+ and create 3D Printing pen. | ✅【Safe to use】the 3Doodler Create Plastics, conforms to the health requirements of ASTM-D-4236 & require no additional labelling in accordance with the US Consumer Product safety Commission’s Regulations as mandated by Labeling of Hazardous Art Materials Act (LHAMA). | 👍【3Doodler very own Type of plastic】the FLEXY plastic takes creativity to new levels! You can make flexible fun 3D creations! | 🌍【Environmentally friendly】3doodler create Plastic is made of corn and are 100% compostable! | ✅【125 strands of drawing fun】this bundle includes 5 refill filament packs, that's a total of 1043 ft. Of 3D drawing and doodling fun! | 📱【The 3Doodler app】get an interactive experience! The app is packed with dedicated easy to follow stencil section and step by step interactive instructions, receive badges for completed projects and photograph & share YOUR creations directly on social media. The app is fully built on iOS & Android. | ✅【All your favorite colors】this pack includes: green, blue, pink, orange & yellow",https://images-na.ssl-images-amazon.com/images/I/513cBC8PqpL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Arts & Crafts
3,Guillow Airplane Design Studio with Travel Case Building Kit,Toys & Games | Hobbies | Models & Model Kits | Model Kits | Airplane & Jet Kits,$28.91,Make 8 different Planes at one time. | Experiment with different designs and learn about flight. | All contained in Part trays inside an attractive box with carry handle! | Guillow's - your one source for flying toys since 1926. | Made in the USA.,https://images-na.ssl-images-amazon.com/images/I/516UijZMilL.jpg|https://images-na.ssl-images-amazon.com/images/I/51J6y3oM6VL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Hobbies
4,Woodstock- Collage 500 pc Puzzle,Toys & Games | Puzzles | Jigsaw Puzzles,$17.49,Make sure this fits by entering your model number. | Puzzle has 500 pieces | Completed puzzle measure 14 x 19 | 100% officially licensed merchandise | Great for fans & puzzlers alike,https://images-na.ssl-images-amazon.com/images/I/61plo8Xv4vL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Puzzles
6,"Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small","Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes",$29.12,"Make sure this fits by entering your model number. | Polyester | Deluxe Pokemon child's Pikachu costume features a fleece jumpsuit with attached tail and headpiece with attached ears and printed face | Officially licensed Pokemon costume, look for trademark on packaging and label to help assure you've received authentic safety-tested item | Important: Costumes are sized differently than apparel, use the Rubie's Child Size Chart, do not choose based on child's age or clothing size | Group costume fun: coordinate with additional Pokemon costumes and accessories available from Rubie's | Family-owned, family-focused, and based in the U.S.A. Since 1951, Rubie's has classic and licensed costumes and accessories in sizes and styles for your entire family",https://images-na.ssl-images-amazon.com/images/I/311yBLR6GiL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,"Clothing, Shoes & Jewelry"
7,"Hoffmaster 120813 Double-Tipped Triangular Crayon, 88 mm Length, Wrapped (500 Packs of 2)",Toys & Games | Arts & Crafts | Drawing & Painting Supplies | Crayons,$97.68,,https://images-na.ssl-images-amazon.com/images/I/41RQ9OU%2BTPL.jpg,Arts & Crafts
8,"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch",Home & Kitchen | Home Décor | Window Treatments | Window Stickers & Films | Window Films,$12.99,Make sure this fits by entering your model number. | The visual effect of textured glass and stained glass | Creates privacy / Provides UV protection | No adhesives / Applies easily | Patterns repeat to cover any size window | Made in USA,https://images-na.ssl-images-amazon.com/images/I/51iAe3LF7FL.jpg|https://images-na.ssl-images-amazon.com/images/I/417B20oEehL.jpg|https://images-na.ssl-images-amazon.com/images/I/41J3bDg633L.jpg|https://images-na.ssl-images-amazon.com/images/I/51hhnuGWwdL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Home & Kitchen
10,"Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector",Toys & Games | Baby & Toddler Toys,$18.16,"Make sure this fits by entering your model number. | 3 story reels: make reading even more magical with the Moonlite story reels bundle! With 3 story reels included in this set, read adventure-filled tales about Pirates, Dragon and a T-Rex to your little boy any time of day, and enjoy them again and again! | Easy-to-use portable storybook projector: The tales included in this 3-pack come alive with Moonlite! Clip the projector (sold separately) onto your smartphone (not included), slide in one of the set's story reels and project vibrant images onto any surface! Moonlite is lightweight and small enough to carry with you wherever you go. | Develop a love of learning: adored by children and adults, award-winning Moonlite and the story reels create an immersive reading experience that instills a love of learning at a young age. As kids follow along to their favorite stories, they develop their imagination, creativity and language skills. | The Moonlite 3-story bundle makes a great gift for boys aged 3 and up and includes 3 story reels. Read tales like how to be a pirate, there was an old Dragon who swallowed a Knight and I'm a T.Rex! Works with the Moonlite storybook projector (sold separately). | Includes: 3 story reels, 1 activation card, 1 quick start guide",https://images-na.ssl-images-amazon.com/images/I/51rUvw7zrtL.jpg|https://images-na.ssl-images-amazon.com/images/I/51MYg4EV2pL.jpg|https://images-na.ssl-images-amazon.com/images/I/51tNGkk%2BQSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51EkeBHHZuL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FGAr81NXL.jpg|https://images-na.ssl-images-amazon.com/images/I/511xp-dN1nL.jpg|https://images-na.ssl-images-amazon.com/images/I/B1HrN5Ag7JS.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Baby & Toddler Toys
11,DC Cover Girls: Black Canary by Joëlle Jones Statue,"Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues",$84.61,"Make sure this fits by entering your model number. | Designed by Joelle Jones | Sculpted by Jack Mathews | Rebirth-era character design | Limited to 5, 000 pieces | Individually numbered",https://images-na.ssl-images-amazon.com/images/I/415AfhrfM7L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,Collectible Toys
